Ubuntu 20.04 NST Cyber Configuration Review v0.1 Beta
OS and version: Ubuntu 20.04.5 LTS
System identity: ubuntu
Script run by: CE
Date and time: Thu 17 Nov 2022 06:10:27 PM +0530
Serial No#,Control Objective,Compliance Status,Additional Comments
1,Ensure mounting of cramfs filesystems is disabled,Compliant
2,Ensure mounting of freevxfs filesystems is disabled,Compliant
3,Ensure mounting of jffs2 filesystems is disabled,Compliant
4,Ensure mounting of hfs filesystems is disabled,Compliant
5,Ensure mounting of hfsplus filesystems is disabled,Compliant
6,Ensure mounting of udf filesystems is disabled,Compliant
7,Ensure /tmp is configured,Non-Compliant
8,Ensure nodev option set on /tmp partition,Non-Compliant
9,Ensure nosuid option set on /tmp partition,Non-Compliant
10,Ensure noexec option set on /tmp partition,Non-Compliant
11,Ensure /dev/shm is configured,Compliant
12,Ensure nodev option set on /dev/shm partition,Compliant
13,Ensure nosuid option set on /dev/shm partition,Compliant
14,Ensure noexec option set on /dev/shm partition,Non-Compliant
15,Ensure /var/tmp partition includes the nodev option,Non-Compliant
16,Ensure /var/tmp partition includes the nosuid option,Non-Compliant
17,Ensure /var/tmp partition includes the noexec option,Non-Compliant
18,Ensure /home partition includes the nodev option,Non-Compliant
19,Ensure nodev option set on removable media partitions,Compliant
20,Ensure nosuid option set on removable media partitions,Compliant
21,Ensure noexec option set on removable media partitions,Compliant
22,Ensure sticky bit is set on all world-writable directories,Non-Compliant
23,Disable Automounting,Compliant
24,Disable USB Storage,Compliant
25,Ensure package manager repositories are configured,Manual Validation,Manual Validation Required
26,Ensure GPG keys are configured,Manual Validation,Manual Validation Required
27,Ensure permissions on bootloader config are not overridden,Non-Compliant
28,Ensure bootloader password is set,Non-Compliant
29,Ensure permissions on bootloader config are configured,Compliant
30,Ensure authentication required for single user mode,Non-Compliant
31,Ensure address space layout randomization (ASLR) is enabled,Compliant
32,Ensure prelink is not installed,Compliant
33,Ensure core dumps are restricted,Non-Compliant
34,Ensure message of the day is configured properly,Compliant
35,Ensure local login warning banner is configured properly,Non-Compliant
36,Ensure remote login warning banner is configured properly,Compliant
37,Ensure permissions on /etc/motd are configured,Non-Compliant
38,Ensure permissions on /etc/issue are configured,Non-Compliant
39,Ensure permissions on /etc/issue.net are configured,Compliant
40,Ensure updates patches and additional security software are installed,Compliant,Manual validation is recommended
41,Ensure time synchronization is in use,Compliant
42,Ensure ntp is configured,Non-Compliant
43,Ensure X Window System is not installed,Non-Compliant
44,Ensure packet redirect sending is disabled,Non-Compliant
45,Ensure IP forwarding is disabled,Non-Compliant
46,Ensure rsyslog is installed,Compliant
47,Ensure rsyslog Service is enabled,Compliant
48,Ensure logging is configured,Manual Validation Required
49,Ensure rsyslog default file permissions configured,Compliant
50,Ensure rsyslog is configured to send logs to a remote log host,Non-Compliant
51,Ensure remote rsyslog messages are only accepted on designated log hosts,Compliant
52,Ensure journald is configured to send logs to rsyslog,Non-Compliant
53,Ensure journald is configured to compress large log files,Non-Compliant
54,Ensure journald is configured to write logfiles to persistent disk,Non-Compliant
55,Ensure permissions on all logfiles are configured, Manual Validation Required
56,Ensure logrotate is configured, Manual Validation Required
57,Ensure logrotate assigns appropriate permissions,Non-Compliant
58,Ensure cron daemon is enabled and running,Compliant
59,Ensure permissions on /etc/crontab are configured,Compliant
60,Ensure permissions on /etc/cron.hourly are configured,Compliant
61,Ensure permissions on /etc/cron.daily are configured,Compliant
62,Ensure permissions on /etc/cron.weekly are configured,Compliant
63,Ensure permissions on /etc/cron.monthly are configured,Compliant
64,Ensure permissions on /etc/cron.d are configured,Compliant
65,Ensure sudo is installed,Compliant
66,Ensure sudo commands use pty,Compliant
67,Ensure sudo log file exists,Non-Compliant
68,Ensure permissions on /etc/ssh/sshd_config are configured,Non-Compliant
69,Ensure SSH access is limited,Non-Compliant
70,Ensure SSH LogLevel is appropriate,Compliant
71,Ensure SSH MaxAuthTries is set to 4 or less,Non-Compliant
72,Ensure SSH IgnoreRhosts is enabled,Non-Compliant
73,Ensure SSH HostbasedAuthentication is disabled,Non-Compliant
74,Ensure SSH root login is disabled,Non-Compliant
75,Ensure SSH PermitEmptyPasswords is disabled,Compliant
76,Ensure SSH PermitUserEnvironment is disabled,Compliant
77,Ensure SSH Idle Timeout Interval is configured,Compliant
78,Ensure SSH LoginGraceTime is set to one minute or less,Compliant
79,Ensure SSH warning banner is configured,Non-Compliant
80,Ensure SSH PAM is enabled,Compliant
81,Ensure SSH MaxStartups is configured,Non-Compliant
82,Ensure SSH MaxSessions is limited,Compliant
83,Ensure password creation requirements are configured,Non-Compliant
